                                          title                                               price                  colors
0                                Nike Air Max 1                                                $140   Available in 8 Colors
1                           Nike Dunk Low Retro                                                $115   Available in 2 Colors
2                                  Nike V2K Run                                                $110   Available in 6 Colors
3                          Nike Air Force 1 '07                                                $115   Available in 4 Colors
4    Air Jordan 1 Retro High OG "Black & White"                                                $180    Available in 1 Color
5                                Air Jordan 9 G                                                $230    Available in 1 Color
6                           Nike Dunk Low Retro                                                $115   Available in 5 Colors
7                            Jordan True Flight                                                $150   Available in 2 Colors
8               Air Jordan 13 Retro "Blue Grey"                                                $200    Available in 1 Color
9                              NOCTA Zoom Drive                                                $165    Available in 1 Color
10                           Nike Zoom Vomero 5                                                $160   Available in 6 Colors
11                      Nike Air Max Plus Drift                                                $185   Available in 3 Colors
12                       Nike Air VaporMax 2023                                                $210   Available in 9 Colors
13                       Nike Air VaporMax Plus                                                $210   Available in 6 Colors
14                             Nike Air Max 270                                                $160   Available in 8 Colors
15                     Nike Air Max 90 GORE-TEX                                                $160   Available in 4 Colors
16                              Nike Air Max Dn                                                $160    Available in 1 Color
17                          Nike G.T. Cut 3 ASW                                                $200   Available in 4 Colors
18                                  Ja 1 "Bite"                                                $130   Available in 5 Colors
19                        Sabrina 1 "The Debut"                                                $130   Available in 8 Colors
20                       LeBron XXI "Aragonite"                                                $200   Available in 8 Colors
21                           Book 1 "Mirage V2"                                                $140    Available in 1 Color
22                       Nike Air Max 95 By You                                                $190   Available in 4 Colors
23                        Nike Phantom GX Elite                                                $250   Available in 3 Colors
24            Nike Court Vision Mid Next Nature                                                 $90   Available in 6 Colors
25    Nike Zoom Mercurial Vapor 15 Elite XXV FG  current price $155.97, original price $250 37% off   Available in 7 Colors
26                          Nike Infinity Pro 2                                                $120   Available in 2 Colors
27                            Nike Revolution 7                                                 $70  Available in 11 Colors
28                           Air Jordan 1 Low G                                                $150   Available in 4 Colors
29                            Nike SB React Leo                                                 $95   Available in 7 Colors
30                          Roshe G Next Nature                                                 $90  Available in 12 Colors
31                   Nike Zoom Superfly Elite 2                                                $160   Available in 3 Colors
32                          Air Jordan I High G  current price $153.97, original price $180 14% off   Available in 5 Colors
33                                  Alabama A&M    current price $28.97, original price $40 27% off    Available in 1 Color
34     Nike Gripknit Phantom GX Elite FG By You                                                $280   Available in 6 Colors
35                            Nike Revolution 6                                                 $70   Available in 4 Colors
36                  Nike Pegasus Trail 4 By You                                                $170   Available in 5 Colors
37           Nike Phantom Luna 2 Academy By You                                                $125   Available in 6 Colors
38                            Nike Invincible 3                                                $180  Available in 17 Colors
39                             Nike E-Series AD                                                 $75   Available in 7 Colors
40                           Nike Air Zoom TR 1                                                $130   Available in 8 Colors
41                                    Nike Fury                                                 $90   Available in 6 Colors
42              Nike Mercurial Superfly 9 Elite                                                $285   Available in 6 Colors
43                          Nike Phantom GX Pro          current price $144.97, original price $160   Available in 3 Colors
44       Nike Mercurial Superfly 9 Elite By You                                                $305   Available in 6 Colors
45                                  Nike P-6000                                                $120   Available in 6 Colors
46                     Nike Air Flight Huarache                                                $125   Available in 4 Colors
47                       Giannis Freak 5 (Team)  current price $105.97, original price $140 24% off   Available in 5 Colors
48                  NikeCourt Air Zoom Vapor 11                                                $170   Available in 5 Colors
49   Nike Zoom Mercurial Vapor 15 Academy KM MG    current price $72.97, original price $85 14% off   Available in 7 Colors
50               Nike Huarache 9 Varsity LAX SE                                                 $95    Available in 1 Color
51                Nike Mercurial Vapor 15 Elite                                                $260   Available in 3 Colors
52                           Nike Air Trainer 1  current price $111.97, original price $130 13% off  Available in 11 Colors
53                      Nike SB Zoom Blazer Mid    current price $67.97, original price $90 24% off   Available in 8 Colors
54                            Nike SB Vertebrae                                                 $85   Available in 3 Colors
55                          Nike Downshifter 13                                                 $75   Available in 8 Colors
56                     Air Jordan 1 Zoom CMFT 2                                                $150   Available in 5 Colors
57              Nike Alpha Huarache Elite 4 Mid                                                $100   Available in 8 Colors
